candidate_id,model_kind,feature_selection_mode,feature_selection_top_k,feature_selection_min_features,feature_selection_min_abs_spearman,feature_selection_min_mutual_info,feature_selection_correlation_threshold,feature_selection_lasso_alpha,robust_clip,calibration,target_transform,prediction_clip,alpha,l1_ratio,epsilon,n_components,fit_intercept,max_iter,tol
144,elastic_net,none,40,8,0.0,0.0,0.95,0.03,none,none,none,0_100,0.0001,0.05,,,True,500000,0.0001
145,elastic_net,none,40,8,0.0,0.0,0.95,0.03,none,linear,none,0_100,0.0001,0.05,,,True,500000,0.0001
146,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=4,none,none,0_100,0.0001,0.05,,,True,500000,0.0001
147,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=4,linear,none,0_100,0.0001,0.05,,,True,500000,0.0001
148,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=5,none,none,0_100,0.0001,0.05,,,True,500000,0.0001
149,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=5,linear,none,0_100,0.0001,0.05,,,True,500000,0.0001
150,elastic_net,none,40,8,0.0,0.0,0.95,0.03,none,none,none,0_100,0.0001,0.1,,,True,500000,0.0001
151,elastic_net,none,40,8,0.0,0.0,0.95,0.03,none,linear,none,0_100,0.0001,0.1,,,True,500000,0.0001
152,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=4,none,none,0_100,0.0001,0.1,,,True,500000,0.0001
153,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=4,linear,none,0_100,0.0001,0.1,,,True,500000,0.0001
154,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=5,none,none,0_100,0.0001,0.1,,,True,500000,0.0001
155,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=5,linear,none,0_100,0.0001,0.1,,,True,500000,0.0001
156,elastic_net,none,40,8,0.0,0.0,0.95,0.03,none,none,none,0_100,0.0001,0.2,,,True,500000,0.0001
157,elastic_net,none,40,8,0.0,0.0,0.95,0.03,none,linear,none,0_100,0.0001,0.2,,,True,500000,0.0001
