column,family,signal,phase,window,metric,description,unit,dtype,non_null_count,non_null_pct,missing_count,missing_pct,n_unique,is_all_null,is_constant_non_null,is_mostly_missing,is_sparse_or_rare,zero_pct,min,p05,p25,median,p75,p95,max,mean,std,example_values,analysis_role,recommended_for_eda,candidate_model_feature,caution
wake_stress_max,distribution/shape,stress,wake,wake_phase,max,max for stress in wake.,stress points,float64,557,94.56706281833617,32,5.432937181663837,18,False,False,False,False,0.0,66.0,92.0,97.0,99.0,99.0,99.0,100.0,97.22800718132855,3.5206605100801007,98; 99; 97,feature,True,True,
wake_stress_mean,distribution/shape,stress,wake,wake_phase,mean,mean for stress in wake.,stress points,float64,557,94.56706281833617,32,5.432937181663837,557,False,False,False,False,0.0,14.870192307692308,35.98540010598834,47.19795918367347,56.33799533799534,65.30442477876106,75.97589499793301,86.1016393442623,55.84937413123812,12.472730299455318,53.86; 48.7; 31.39,feature,True,True,
wake_stress_median,distribution/shape,stress,wake,wake_phase,median,median for stress in wake.,stress points,float64,557,94.56706281833617,32,5.432937181663837,94,False,False,False,False,0.0,10.5,28.0,42.0,57.5,70.0,82.0,90.0,56.272890484739676,17.03529026069949,54; 36.5; 25,feature,True,True,
wake_stress_min,distribution/shape,stress,wake,wake_phase,min,min for stress in wake.,stress points,float64,557,94.56706281833617,32,5.432937181663837,33,False,False,False,False,3.4111310592459607,0.0,1.0,4.0,10.0,14.0,22.0,40.0,10.093357271095153,6.81575235107149,6; 1; 0,feature,True,True,
wake_stress_p10,distribution/shape,stress,wake,wake_phase,p10,p10 for stress in wake.,stress points,float64,557,94.56706281833617,32,5.432937181663837,116,False,False,False,False,0.0,1.0,12.0,20.0,25.0,32.0,50.19999999999993,78.0,27.218491921005384,11.746040971988982,21; 18; 12,feature,True,True,
wake_stress_p25,distribution/shape,stress,wake,wake_phase,p25,p25 for stress in wake.,stress points,float64,557,94.56706281833617,32,5.432937181663837,112,False,False,False,False,0.0,2.0,19.0,27.0,36.0,48.0,69.0,82.0,38.83213644524237,15.388676486861675,33; 23; 17,feature,True,True,
wake_stress_p75,distribution/shape,stress,wake,wake_phase,p75,p75 for stress in wake.,stress points,float64,557,94.56706281833617,32,5.432937181663837,99,False,False,False,False,0.0,20.0,47.0,66.0,76.0,83.0,90.0,96.0,73.0475763016158,13.504137887558347,75; 78; 42,feature,True,True,
wake_stress_p90,distribution/shape,stress,wake,wake_phase,p90,p90 for stress in wake.,stress points,float64,557,94.56706281833617,32,5.432937181663837,105,False,False,False,False,0.0,37.0,66.0,79.0,86.0,90.0,95.0,98.0,83.90879712746857,9.390159379217225,89; 92; 61,feature,True,True,
wake_stress_range,distribution/shape,stress,wake,wake_phase,range,range for stress in wake.,stress points,float64,557,94.56706281833617,32,5.432937181663837,38,False,False,False,False,0.0,26.0,75.0,83.0,88.0,92.0,97.0,99.0,87.13464991023339,7.614229009247411,92; 98; 96,feature,True,True,
wake_stress_skewness,distribution/shape,stress,wake,wake_phase,skewness,skewness for stress in wake.,stress points,float64,557,94.56706281833617,32,5.432937181663837,557,False,False,False,False,0.0,-2.974966001691844,-1.2044260435738552,-0.5228151372482533,-0.08322425896648179,0.3591282300045679,1.0552886115328306,1.9316507007060733,-0.09168582314976244,0.7049307663263298,0.04954; 0.3861; 0.9431,feature,True,True,
wake_stress_std,distribution/shape,stress,wake,wake_phase,std,std for stress in wake.,stress points,float64,557,94.56706281833617,32,5.432937181663837,557,False,False,False,False,0.0,7.376188939100335,15.667404222344757,19.290657645258953,21.5960527438775,23.71728691078328,27.28536348074181,33.1916111371291,21.50912214092917,3.5882352889406812,24.36; 28.82; 18.97,feature,True,True,
sleep_stress_frac_active,stress state fractions,stress,sleep,sleep_phase,frac_active,"Share of eligible stress-state minutes with raw `-2` and same-minute valid HR, treated as an active/large-motion proxy rather than numeric stress.",fraction 0..1,float64,555,94.22750424448218,34,5.772495755517826,232,False,False,False,False,53.69369369369369,0.0,0.0,0.0,0.0,0.0035336130256717613,0.010297131147540975,0.12987012987012986,0.0028689627449367374,0.0082433663036675,0; 0.009153; 0.005725,feature,True,True,
sleep_stress_frac_high,stress state fractions,stress,sleep,sleep_phase,frac_high,Share of eligible raw stress minutes in a fixed Garmin-like numeric stress state; raw `-1` and raw `-2` without same-minute valid HR are excluded from the denominator.,fraction 0..1,float64,555,94.22750424448218,34,5.772495755517826,148,False,False,False,False,71.89189189189189,0.0,0.0,0.0,0.0,0.0018282513294094447,0.01318150281164637,0.4507042253521127,0.003703017059287734,0.02252662721770849,0; 0.002288; 0.005848,feature,True,True,
sleep_stress_frac_low,stress state fractions,stress,sleep,sleep_phase,frac_low,Share of eligible raw stress minutes in a fixed Garmin-like numeric stress state; raw `-1` and raw `-2` without same-minute valid HR are excluded from the denominator.,fraction 0..1,float64,555,94.22750424448218,34,5.772495755517826,540,False,False,False,False,1.0810810810810811,0.0,0.007664250642974048,0.027228596646072373,0.06772009029345373,0.14373752909876952,0.3144946808510635,0.7294117647058823,0.10400588788694841,0.10866614930974233,0.008511; 0.04119; 0.04389,feature,True,True,
sleep_stress_frac_medium,stress state fractions,stress,sleep,sleep_phase,frac_medium,Share of eligible raw stress minutes in a fixed Garmin-like numeric stress state; raw `-1` and raw `-2` without same-minute valid HR are excluded from the denominator.,fraction 0..1,float64,555,94.22750424448218,34,5.772495755517826,422,False,False,False,False,20.9009009009009,0.0,0.0,0.0018536079215540758,0.006837606837606838,0.022574839629365646,0.07704759269507469,0.45032051282051283,0.0218554758469155,0.04905049726713383,0.002128; 0.009153; 0.001908,feature,True,True,
sleep_stress_frac_resting,stress state fractions,stress,sleep,sleep_phase,frac_resting,Share of eligible raw stress minutes in a fixed Garmin-like numeric stress state; raw `-1` and raw `-2` without same-minute valid HR are excluded from the denominator.,fraction 0..1,float64,555,94.22750424448218,34,5.772495755517826,551,False,False,False,False,0.18018018018018017,0.0,0.5800897277227722,0.8287838555496548,0.9215291750503019,0.9657131661442007,0.9902357777357778,1.0,0.8675666564619117,0.1545625661266498,0.9894; 0.9382; 0.9485,feature,True,True,
wake_stress_frac_active,stress state fractions,stress,wake,wake_phase,frac_active,"Share of eligible stress-state minutes with raw `-2` and same-minute valid HR, treated as an active/large-motion proxy rather than numeric stress.",fraction 0..1,float64,557,94.56706281833617,32,5.432937181663837,553,False,False,False,False,0.0,0.009523809523809525,0.05336312125627327,0.13456090651558072,0.18571428571428572,0.24026696329254726,0.35958697221281494,0.6526195899772209,0.19484184499795093,0.09535664662602,0.2934; 0.2083; 0.2465,feature,True,True,
wake_stress_frac_high,stress state fractions,stress,wake,wake_phase,frac_high,Share of eligible raw stress minutes in a fixed Garmin-like numeric stress state; raw `-1` and raw `-2` without same-minute valid HR are excluded from the denominator.,fraction 0..1,float64,557,94.56706281833617,32,5.432937181663837,552,False,False,False,False,0.8976660682226212,0.0,0.0420500597860542,0.11025358324145534,0.20229007633587787,0.30982367758186397,0.5050550246242791,0.6595238095238095,0.22393610219132315,0.14136177981712883,0.1659; 0.2139; 0.01728,feature,True,True,
wake_stress_frac_low,stress state fractions,stress,wake,wake_phase,frac_low,Share of eligible raw stress minutes in a fixed Garmin-like numeric stress state; raw `-1` and raw `-2` without same-minute valid HR are excluded from the denominator.,fraction 0..1,float64,557,94.56706281833617,32,5.432937181663837,548,False,False,False,False,0.17953321364452424,0.0,0.06110391293081109,0.14447592067988668,0.21799746514575413,0.29954614220877457,0.3994567126511261,0.6451612903225806,0.22315044871327555,0.1066657168499559,0.2088; 0.2028; 0.22,feature,True,True,
wake_stress_frac_medium,stress state fractions,stress,wake,wake_phase,frac_medium,Share of eligible raw stress minutes in a fixed Garmin-like numeric stress state; raw `-1` and raw `-2` without same-minute valid HR are excluded from the denominator.,fraction 0..1,float64,557,94.56706281833617,32,5.432937181663837,552,False,False,False,False,0.0,0.011389521640091117,0.10280219367440463,0.1702944942381562,0.22700296735905046,0.28255813953488373,0.3851404182671785,0.75,0.2310573378828775,0.08953672276027107,0.2121; 0.1194; 0.129,feature,True,True,
