feature_set,feature_order,feature,source,dtype,non_null_count,missing_pct,modeling_non_null_count,modeling_missing_pct,family,phase,window,metric,candidate_model_feature,aggregate_review_group,included_in_aggregate_plus_monitoring_full
monitoring_core_wake_pre_sleep,26,wake_stress_roughness,monitoring core v0,float64,557,5.432937181663837,472,0.0,variability/gaps,wake,wake_phase,roughness,True,,True
monitoring_core_wake_pre_sleep,27,wake_hr_slope_per_hour,monitoring core v0,float64,557,5.432937181663837,472,0.0,trends,wake,wake_phase,slope_per_hour,True,,True
monitoring_core_wake_pre_sleep,28,wake_hr_trend_r2,monitoring core v0,float64,557,5.432937181663837,472,0.0,trends,wake,wake_phase,trend_r2,True,,True
monitoring_core_wake_pre_sleep,29,wake_stress_slope_per_hour,monitoring core v0,float64,557,5.432937181663837,472,0.0,trends,wake,wake_phase,slope_per_hour,True,,True
monitoring_core_wake_pre_sleep,30,wake_stress_trend_r2,monitoring core v0,float64,557,5.432937181663837,472,0.0,trends,wake,wake_phase,trend_r2,True,,True
monitoring_core_wake_pre_sleep,31,pre_sleep_4h_hr_slope_per_hour,monitoring core v0,float64,523,11.205432937181664,472,0.0,trends,wake/pre-sleep,pre_sleep_4h,slope_per_hour,True,,True
monitoring_core_wake_pre_sleep,32,pre_sleep_4h_hr_trend_r2,monitoring core v0,float64,523,11.205432937181664,472,0.0,trends,wake/pre-sleep,pre_sleep_4h,trend_r2,True,,True
monitoring_core_wake_pre_sleep,33,pre_sleep_4h_stress_slope_per_hour,monitoring core v0,float64,523,11.205432937181664,472,0.0,trends,wake/pre-sleep,pre_sleep_4h,slope_per_hour,True,,True
monitoring_core_wake_pre_sleep,34,pre_sleep_4h_stress_trend_r2,monitoring core v0,float64,523,11.205432937181664,472,0.0,trends,wake/pre-sleep,pre_sleep_4h,trend_r2,True,,True
monitoring_core_wake_pre_sleep,35,wake_q1_hr_mean,monitoring core v0,float64,537,8.828522920203735,472,0.0,relative windows,wake,wake_q1,hr_mean,True,,True
monitoring_core_wake_pre_sleep,36,wake_q1_stress_mean,monitoring core v0,float64,536,8.998302207130731,472,0.0,relative windows,wake,wake_q1,stress_mean,True,,True
monitoring_core_wake_pre_sleep,37,wake_q1_stress_high_fraction,monitoring core v0,float64,536,8.998302207130731,472,0.0,relative windows,wake,wake_q1,stress_high_fraction,True,,True
monitoring_core_wake_pre_sleep,38,wake_q2_hr_mean,monitoring core v0,float64,528,10.35653650254669,472,0.0,relative windows,wake,wake_q2,hr_mean,True,,True
monitoring_core_wake_pre_sleep,39,wake_q2_stress_mean,monitoring core v0,float64,526,10.69609507640068,470,0.423728813559322,relative windows,wake,wake_q2,stress_mean,True,,True
