column,dtype,non_null_count,non_null_pct,missing_count,missing_pct,n_unique,is_constant,zero_pct,first_non_null_date,last_non_null_date,coverage_span_days,coverage_within_span_pct,example_values,min,p05,p25,median,p75,p95,max,mean,std,inferred_unit,inferred_group,notes,used_in_quality,used_in_eda,candidate_model_feature,analysis_priority
allDayStress_AWAKE_mediumDuration,Int64,546,94.13793103448276,34,5.862068965517241,259,False,0.0,2023-05-26,2026-02-05,987,94.13793103448276,"[4740, 9420, 6780, 7680, 7860]",60.0,2160.0,7740.0,10740.0,13980.0,19245.0,31500.0,10955.494505494506,5084.144757985678,,stress,,False,True,True,medium
allDayStress_AWAKE_restDuration,Int64,532,91.72413793103448,48,8.275862068965518,258,False,0.0,2023-05-26,2026-02-04,986,91.8825561312608,"[3420, 13440, 7200, 15000, 18900]",60.0,420.0,2145.0,5370.0,10770.0,25982.999999999993,46980.0,7736.729323308271,7801.309502929265,,stress,,False,True,True,medium
allDayStress_AWAKE_stressDuration,Int64,547,94.3103448275862,33,5.689655172413794,361,False,0.0,2023-05-26,2026-02-05,987,94.3103448275862,"[11520, 22500, 30780, 21300, 27060]",120.0,10974.0,26700.0,32700.0,38070.0,47441.99999999999,72780.0,31840.255941499086,10744.447101834397,,stress,,False,True,True,medium
allDayStress_AWAKE_stressIntensityCount,Int64,547,94.3103448275862,33,5.689655172413794,378,False,0.0,2023-05-26,2026-02-05,987,94.3103448275862,"[249, 599, 633, 605, 766]",2.0,282.6,570.5,673.0,762.0,947.0999999999998,1399.0,656.0804387568555,199.09460109310479,,stress,,False,True,True,medium
allDayStress_AWAKE_stressOffWristCount,Int64,579,99.82758620689656,1,0.1724137931034483,208,False,0.0,2023-05-26,2026-02-05,987,99.82758620689656,"[26, 55, 174, 48, 36]",1.0,12.0,30.0,49.0,99.5,858.1000000000003,1440.0,151.95682210708117,302.21803445025733,,stress,,False,True,True,medium
allDayStress_AWAKE_stressTooActiveCount,Int64,547,94.3103448275862,33,5.689655172413794,263,False,0.0,2023-05-26,2026-02-05,987,94.3103448275862,"[93, 285, 164, 246, 202]",1.0,27.6,99.0,150.0,207.0,308.69999999999993,1072.0,162.51188299817184,100.0209014123628,,stress,,False,True,True,medium
allDayStress_AWAKE_totalDuration,Int64,580,100.0,0,0.0,362,False,0.0,2023-05-26,2026-02-05,987,100.0,"[22080, 56340, 58260, 53940, 60240]",1080.0,30069.000000000004,49680.0,54900.0,60915.0,86163.0,89820.0,55422.724137931036,15448.224791724491,,stress,,False,True,True,medium
allDayStress_AWAKE_totalStressCount,Int64,580,100.0,0,0.0,362,False,0.0,2023-05-26,2026-02-05,987,100.0,"[368, 939, 971, 899, 1004]",18.0,501.15000000000003,828.0,915.0,1015.25,1436.05,1497.0,923.7120689655172,257.47041319540824,,stress,,False,True,True,medium
allDayStress_AWAKE_totalStressIntensity,Int64,547,94.3103448275862,33,5.689655172413794,547,False,0.0,2023-05-26,2026-02-05,987,94.3103448275862,"[-6142, -6824, -26075, -4452, -6960]",-76210.0,-44095.8,-31874.0,-22751.0,-14017.5,14.999999999987722,45292.0,-22383.597806215723,14378.055939770671,,stress,,False,True,True,medium
allDayStress_AWAKE_uncategorizedDuration,Int64,579,99.82758620689656,1,0.1724137931034483,208,False,0.0,2023-05-26,2026-02-05,987,99.82758620689656,"[1560, 3300, 10440, 2880, 2160]",60.0,720.0,1800.0,2940.0,5970.0,51486.000000000015,86400.0,9117.409326424871,18133.082067015443,,stress,,False,True,True,medium
